t,x,y
2.43E+01,-5.55E-02,-1.08E+00
2.46E+01,-5.95E-02,-1.09E+00
2.50E+01,-6.34E-02,-1.12E+00
2.54E+01,-6.54E-02,-1.14E+00
2.57E+01,-5.95E-02,-1.15E+00
2.61E+01,-6.14E-02,-1.17E+00
2.64E+01,-6.14E-02,-1.19E+00
2.68E+01,-6.54E-02,-1.21E+00
2.71E+01,-6.54E-02,-1.23E+00
2.75E+01,-6.74E-02,-1.25E+00
2.78E+01,-6.54E-02,-1.28E+00
2.82E+01,-6.74E-02,-1.30E+00
2.85E+01,-7.53E-02,-1.31E+00
2.89E+01,-7.33E-02,-1.33E+00
2.92E+01,-7.13E-02,-1.35E+00
2.96E+01,-7.72E-02,-1.38E+00
2.99E+01,-7.92E-02,-1.40E+00
3.03E+01,-7.72E-02,-1.42E+00
3.06E+01,-7.13E-02,-1.44E+00
3.10E+01,-6.54E-02,-1.45E+00
3.13E+01,-6.54E-02,-1.47E+00
3.17E+01,-6.54E-02,-1.49E+00
3.20E+01,-6.34E-02,-1.50E+00
3.24E+01,-6.34E-02,-1.51E+00
3.27E+01,-6.54E-02,-1.53E+00
3.31E+01,-6.93E-02,-1.55E+00
3.35E+01,-6.93E-02,-1.58E+00
3.38E+01,-6.93E-02,-1.59E+00
3.42E+01,-6.74E-02,-1.62E+00
3.45E+01,-6.93E-02,-1.64E+00
3.49E+01,-6.93E-02,-1.65E+00
3.52E+01,-7.33E-02,-1.68E+00
3.56E+01,-7.33E-02,-1.70E+00
3.59E+01,-7.13E-02,-1.71E+00
3.63E+01,-7.13E-02,-1.73E+00
3.66E+01,-7.13E-02,-1.75E+00
3.70E+01,-7.72E-02,-1.78E+00
3.73E+01,-7.13E-02,-1.79E+00
3.77E+01,-7.53E-02,-1.81E+00
3.80E+01,-7.72E-02,-1.82E+00
3.84E+01,-7.53E-02,-1.84E+00
3.87E+01,-6.93E-02,-1.86E+00
3.91E+01,-6.54E-02,-1.89E+00
3.94E+01,-6.54E-02,-1.92E+00
3.98E+01,-7.33E-02,-1.90E+00
4.01E+01,-7.33E-02,-1.87E+00
4.05E+01,-7.72E-02,-1.84E+00
4.08E+01,-7.72E-02,-1.81E+00
4.12E+01,-7.72E-02,-1.79E+00
4.15E+01,-7.72E-02,-1.77E+00
4.19E+01,-7.53E-02,-1.74E+00
4.23E+01,-7.72E-02,-1.70E+00
4.26E+01,-7.72E-02,-1.69E+00
4.30E+01,-8.52E-02,-1.66E+00
4.33E+01,-7.92E-02,-1.63E+00
4.37E+01,-8.12E-02,-1.61E+00
4.40E+01,-8.12E-02,-1.59E+00
4.44E+01,-8.52E-02,-1.57E+00
4.47E+01,-8.71E-02,-1.54E+00
4.51E+01,-8.32E-02,-1.51E+00
4.54E+01,-8.71E-02,-1.48E+00
4.58E+01,-7.92E-02,-1.45E+00
4.61E+01,-7.92E-02,-1.43E+00
4.65E+01,-9.90E-02,-1.42E+00
4.68E+01,-9.70E-02,-1.39E+00
4.72E+01,-9.90E-02,-1.37E+00
4.75E+01,-9.31E-02,-1.35E+00
4.79E+01,-9.50E-02,-1.32E+00
4.82E+01,-9.31E-02,-1.30E+00
4.86E+01,-9.90E-02,-1.27E+00
4.89E+01,-9.90E-02,-1.25E+00
4.93E+01,-9.70E-02,-1.22E+00
4.96E+01,-9.31E-02,-1.19E+00
5.00E+01,-8.91E-02,-1.17E+00
5.04E+01,-8.91E-02,-1.15E+00
5.07E+01,-7.92E-02,-1.13E+00
5.11E+01,-7.53E-02,-1.10E+00
5.14E+01,-6.93E-02,-1.08E+00
5.18E+01,-7.33E-02,-1.05E+00
5.21E+01,-7.72E-02,-1.03E+00
5.25E+01,-6.93E-02,-1.03E+00
5.28E+01,-7.72E-02,-1.04E+00
5.32E+01,-7.53E-02,-1.05E+00
5.35E+01,-7.72E-02,-1.07E+00
5.39E+01,-7.72E-02,-1.09E+00
5.42E+01,-7.33E-02,-1.13E+00
5.46E+01,-7.92E-02,-1.13E+00
5.49E+01,-7.92E-02,-1.15E+00
5.53E+01,-7.92E-02,-1.17E+00
5.56E+01,-8.12E-02,-1.19E+00
5.60E+01,-8.32E-02,-1.22E+00
5.63E+01,-7.92E-02,-1.25E+00
5.67E+01,-7.53E-02,-1.26E+00
5.70E+01,-7.13E-02,-1.28E+00
5.74E+01,-7.72E-02,-1.31E+00
5.77E+01,-7.33E-02,-1.32E+00
5.81E+01,-6.93E-02,-1.33E+00
5.85E+01,-6.14E-02,-1.35E+00
5.88E+01,-5.95E-02,-1.37E+00
5.92E+01,-5.75E-02,-1.39E+00
5.95E+01,-5.55E-02,-1.41E+00
5.99E+01,-5.55E-02,-1.44E+00
6.02E+01,-5.35E-02,-1.45E+00
6.06E+01,-4.96E-02,-1.47E+00
6.09E+01,-5.35E-02,-1.49E+00
6.13E+01,-5.35E-02,-1.52E+00
6.16E+01,-5.35E-02,-1.54E+00
6.20E+01,-5.35E-02,-1.55E+00
6.23E+01,-5.55E-02,-1.57E+00
6.27E+01,-5.55E-02,-1.59E+00
6.30E+01,-5.55E-02,-1.61E+00
6.34E+01,-5.55E-02,-1.62E+00
6.37E+01,-5.55E-02,-1.65E+00
6.41E+01,-5.75E-02,-1.67E+00
6.44E+01,-5.75E-02,-1.69E+00
6.48E+01,-5.35E-02,-1.71E+00
6.51E+01,-5.35E-02,-1.72E+00
6.55E+01,-5.55E-02,-1.75E+00
6.58E+01,-6.54E-02,-1.77E+00
6.62E+01,-6.14E-02,-1.79E+00
6.65E+01,-5.75E-02,-1.81E+00
6.69E+01,-5.95E-02,-1.83E+00
6.73E+01,-5.95E-02,-1.84E+00
6.76E+01,-5.75E-02,-1.86E+00
6.80E+01,-5.75E-02,-1.88E+00
6.83E+01,-5.75E-02,-1.90E+00
6.87E+01,-5.95E-02,-1.92E+00
6.90E+01,-5.35E-02,-1.94E+00
6.94E+01,-5.95E-02,-1.93E+00
6.97E+01,-6.14E-02,-1.91E+00
7.01E+01,-6.14E-02,-1.88E+00
7.04E+01,-5.75E-02,-1.85E+00
7.08E+01,-4.96E-02,-1.83E+00
7.11E+01,-4.96E-02,-1.81E+00
7.15E+01,-4.76E-02,-1.78E+00
7.18E+01,-5.15E-02,-1.75E+00
7.22E+01,-4.96E-02,-1.73E+00
7.25E+01,-4.17E-02,-1.70E+00
7.29E+01,-4.76E-02,-1.67E+00
7.32E+01,-4.17E-02,-1.66E+00
7.36E+01,-3.57E-02,-1.64E+00
7.39E+01,-4.17E-02,-1.62E+00
7.43E+01,-4.17E-02,-1.60E+00
7.46E+01,-4.56E-02,-1.58E+00
7.50E+01,-4.76E-02,-1.57E+00
7.54E+01,-5.15E-02,-1.54E+00
7.57E+01,-5.55E-02,-1.52E+00
7.61E+01,-5.55E-02,-1.50E+00
7.64E+01,-5.75E-02,-1.48E+00
7.68E+01,-5.95E-02,-1.45E+00
7.71E+01,-5.95E-02,-1.42E+00
7.75E+01,-6.14E-02,-1.41E+00
7.78E+01,-6.14E-02,-1.38E+00
7.82E+01,-6.54E-02,-1.35E+00
7.85E+01,-5.15E-02,-1.32E+00
7.89E+01,-4.76E-02,-1.31E+00
7.92E+01,-5.35E-02,-1.28E+00
7.96E+01,-5.75E-02,-1.26E+00
7.99E+01,-5.95E-02,-1.24E+00
8.03E+01,-6.34E-02,-1.22E+00
8.06E+01,-5.75E-02,-1.19E+00
8.10E+01,-5.55E-02,-1.16E+00
8.13E+01,-5.35E-02,-1.14E+00
8.17E+01,-4.56E-02,-1.11E+00
8.20E+01,-4.76E-02,-1.10E+00
8.24E+01,-4.36E-02,-1.07E+00
8.27E+01,-5.75E-02,-1.06E+00
8.31E+01,-3.77E-02,-1.04E+00
8.35E+01,-4.36E-02,-1.01E+00
8.38E+01,-4.17E-02,-9.83E-01
8.42E+01,-4.17E-02,-9.67E-01
8.45E+01,-4.17E-02,-9.45E-01
8.49E+01,-5.15E-02,-9.22E-01
8.52E+01,-2.98E-02,-8.86E-01
8.56E+01,-4.17E-02,-8.72E-01
8.59E+01,-3.97E-02,-8.46E-01
8.63E+01,-4.36E-02,-8.27E-01
8.66E+01,-4.17E-02,-8.03E-01
8.70E+01,-4.56E-02,-7.83E-01
8.73E+01,-4.56E-02,-7.93E-01
8.77E+01,-5.15E-02,-7.97E-01
8.80E+01,-4.17E-02,-8.17E-01
8.84E+01,-5.55E-02,-8.35E-01
8.87E+01,-6.34E-02,-8.58E-01
8.91E+01,-5.55E-02,-8.82E-01
8.94E+01,-4.76E-02,-9.08E-01
8.98E+01,-4.56E-02,-9.22E-01
9.01E+01,-4.56E-02,-9.33E-01
9.05E+01,-3.97E-02,-9.61E-01
9.08E+01,-3.97E-02,-9.89E-01
9.12E+01,-3.57E-02,-1.01E+00
9.15E+01,-3.77E-02,-1.02E+00
9.19E+01,-4.17E-02,-1.04E+00
9.23E+01,-4.36E-02,-1.06E+00
9.26E+01,-4.36E-02,-1.08E+00
9.30E+01,-4.17E-02,-1.10E+00
9.33E+01,-4.17E-02,-1.12E+00
9.37E+01,-3.97E-02,-1.15E+00
9.40E+01,-3.57E-02,-1.17E+00
9.44E+01,-3.38E-02,-1.19E+00
9.47E+01,-2.59E-02,-1.21E+00
9.51E+01,-3.18E-02,-1.24E+00
9.54E+01,-4.17E-02,-1.26E+00
9.58E+01,-4.17E-02,-1.27E+00
9.61E+01,-2.78E-02,-1.29E+00
9.65E+01,-2.59E-02,-1.31E+00
9.68E+01,-2.78E-02,-1.33E+00
9.72E+01,-2.59E-02,-1.36E+00
9.75E+01,-2.59E-02,-1.37E+00
9.79E+01,-2.59E-02,-1.39E+00
9.82E+01,-2.78E-02,-1.41E+00
9.86E+01,-2.78E-02,-1.43E+00
9.89E+01,-2.98E-02,-1.44E+00
9.93E+01,-2.98E-02,-1.46E+00
9.96E+01,-2.98E-02,-1.48E+00
1.00E+02,-2.98E-02,-1.50E+00
1.00E+02,-2.78E-02,-1.51E+00
1.01E+02,-1.99E-02,-1.53E+00
1.01E+02,-1.99E-02,-1.56E+00
1.01E+02,-1.79E-02,-1.58E+00
1.02E+02,-1.40E-02,-1.59E+00
1.02E+02,-1.40E-02,-1.61E+00
1.02E+02,-4.11E-03,-1.62E+00
1.03E+02,-4.11E-03,-1.64E+00
1.03E+02,-2.13E-03,-1.67E+00
1.04E+02,-2.13E-03,-1.68E+00
1.04E+02,-2.13E-03,-1.70E+00
1.04E+02,-1.20E-02,-1.71E+00
1.05E+02,-1.52E-04,-1.67E+00
1.05E+02,-1.52E-04,-1.65E+00
1.05E+02,3.80E-03,-1.62E+00
1.06E+02,5.78E-03,-1.60E+00
1.06E+02,9.73E-03,-1.58E+00
1.06E+02,9.73E-03,-1.55E+00
1.07E+02,1.76E-02,-1.52E+00
1.07E+02,2.16E-02,-1.51E+00
1.07E+02,1.96E-02,-1.48E+00
1.08E+02,1.76E-02,-1.46E+00
1.08E+02,1.76E-02,-1.43E+00
1.08E+02,1.96E-02,-1.40E+00
1.09E+02,1.96E-02,-1.38E+00
1.09E+02,2.16E-02,-1.35E+00
1.10E+02,1.17E-02,-1.33E+00
1.10E+02,5.78E-03,-1.31E+00
1.10E+02,1.82E-03,-1.28E+00
1.11E+02,-4.11E-03,-1.25E+00
1.11E+02,-6.08E-03,-1.23E+00
1.11E+02,-4.11E-03,-1.22E+00
1.12E+02,-4.11E-03,-1.19E+00
1.12E+02,-8.06E-03,-1.16E+00
1.12E+02,-8.06E-03,-1.14E+00
1.13E+02,-1.20E-02,-1.12E+00
1.13E+02,-8.06E-03,-1.10E+00
1.13E+02,-8.06E-03,-1.08E+00
1.14E+02,-1.40E-02,-1.07E+00
1.14E+02,-1.40E-02,-1.03E+00
1.14E+02,-1.60E-02,-9.93E-01
1.15E+02,-1.60E-02,-9.69E-01
1.15E+02,-1.79E-02,-9.49E-01
1.15E+02,-1.60E-02,-9.31E-01
1.16E+02,-1.99E-02,-9.14E-01
1.16E+02,-2.78E-02,-8.82E-01
1.17E+02,-2.59E-02,-8.54E-01
1.17E+02,-3.18E-02,-8.23E-01
1.17E+02,-2.39E-02,-8.01E-01
1.18E+02,-2.39E-02,-7.81E-01
1.18E+02,-1.99E-02,-7.71E-01
